iteration,max_L,min_L,c_exact_avg,g_exact_avg_0,g_exact_avg_1,c_avg,g_avg_0,g_avg_1,c_pi_exact,g_pi_exact_0,g_pi_exact_1,c_pi,g_pi_0,g_pi_1,lambda_0,lambda_1,c_br_exact,g_br_exact_0,g_br_exact_1,c_br,g_br_0,g_br_1
83.0,0.0,0.0,-22.619890637461097,12.559589535622257,34.47201926838077,0.0,0.0,0.0,-19.78110072957431,32.597345410016025,30.77005436931126,0.0,0.0,0.0,0.5,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
84.0,0.0,0.0,-22.535482808110356,12.526276964795226,34.34230381962602,0.0,0.0,0.0,-15.529632971999085,9.761333586151677,23.575921572981766,0.0,0.0,0.0,0.6000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
85.0,0.0,0.0,-22.615263769956055,12.457625577352156,34.15411779280167,0.0,0.0,0.0,-29.316864564994635,6.690909032134257,18.346491539556613,0.0,0.0,0.0,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
86.0,0.0,0.0,-22.280226579049124,12.415823813127401,33.757214521989695,0.0,0.0,0.0,6.1979346480397615,8.862673854023436,0.020436502971721286,0.0,0.0,0.0,0.8,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
87.0,0.0,0.0,-22.417780322349994,12.367286001256263,33.67046268763702,0.0,0.0,0.0,-34.24740224622472,8.193034180338314,26.2098049333069,0.0,0.0,0.0,0.9,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
88.0,0.0,0.0,-22.09260174314102,12.451360136418531,33.28841834695383,0.0,0.0,0.0,6.1979346480397615,19.76580989553577,0.05056070751640561,0.0,0.0,0.0,1.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
89.0,0.0,0.0,-21.91190029044708,12.587187814308232,33.09564445443492,0.0,0.0,0.0,-6.010172453380167,24.54002346860203,16.131541912770306,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
90.0,0.0,0.0,-21.647020145465223,12.653129628444283,32.75187743234681,0.0,0.0,0.0,1.9273127579199292,18.521951086552836,2.156612466505659,0.0,0.0,0.0,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0
91.0,0.0,0.0,-21.341031631250885,12.734044220473116,32.3920788812181,0.0,0.0,0.0,6.1979346480397615,20.016357503068196,0.010209279633704268,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0
92.0,0.0,0.0,-21.237996577498716,13.065761590984923,32.13873298134316,0.0,0.0,0.0,-11.861806686051533,43.25204230755936,9.084256092724067,0.0,0.0,0.0,0.30000000000000004,0.8,0.0,0.0,0.0,0.0,0.0,0.0
93.0,0.0,0.0,-20.942986564320883,13.206984315847771,31.79362989679157,0.0,0.0,0.0,6.1979346480397615,26.19947500322968,0.044146118044686884,0.0,0.0,0.0,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0
94.0,0.0,0.0,-20.6996855077013,13.340725017319876,31.495827781437423,0.0,0.0,0.0,1.9273127579199292,25.778610254225626,3.800231053502086,0.0,0.0,0.0,0.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0
95.0,0.0,0.0,-20.416552663956658,13.253509761052037,31.165027264803072,0.0,0.0,0.0,6.1979346480397615,5.055275671874999,0.06977870117401927,0.0,0.0,0.0,0.6000000000000001,0.8,0.0,0.0,0.0,0.0,0.0,0.0
96.0,0.0,0.0,-20.38400817417111,13.426116708554291,30.975122471799846,0.0,0.0,0.0,-17.292281644544296,29.823776721268633,12.934167136493157,0.0,0.0,0.0,0.7000000000000001,0.8,0.0,0.0,0.0,0.0,0.0,0.0
97.0,0.0,0.0,-20.376704568077763,13.611197660300546,31.01608401445659,0.0,0.0,0.0,-19.675558383116705,31.378969027940904,34.948392109504255,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0
98.0,0.0,0.0,-20.274437864322845,13.551082713173013,30.878451099007215,0.0,0.0,0.0,-10.354567600095622,7.719932841802404,17.528058300417985,0.0,0.0,0.0,0.9,0.8,0.0,0.0,0.0,0.0,0.0,0.0
99.0,0.0,0.0,-20.33653692263277,13.478748833737422,30.72690906426283,0.0,0.0,0.0,-26.422244637005303,6.390028649049613,15.875789659312924,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
